instruction,input,output,th_instruction,th_input,th_output
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, I have taken a solid hit to my lower back on my left side (I think my kidney) it has been painful for 2 weeks now and is sore mostly when I bend or apply tension to the muscles in that area. I have not urinated blood Improvement in past 2 weeks seems minimal Please advise","Hello, Thank you for writing to Chat Doctor about your query, Brief Answer -Treatment for lower back pain depends upon the patients history and the type and severity of pain, as you described I explained below meditation. Explained Answer -The vast majority of lower back pain cases get better within six weeks without surgery, and lower back pain exercises are almost always part of a treatment plan. If pain persists or worsens, more involved diagnostic and surgical procedures may be recommended.  Medications",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดีฉันได้รับความนิยมอย่างมากที่หลังส่วนล่างของฉันทางด้านซ้ายของฉัน (ฉันคิดว่าไตของฉัน) มันเจ็บปวดมา 2 สัปดาห์แล้วและเจ็บมากเมื่อฉันงอหรือใช้ความตึงเครียดกับกล้ามเนื้อในพื้นที่นั้นฉันยังไม่ได้รับการปรับปรุงเลือดใน 2 สัปดาห์ที่ผ่านมาดูเหมือนว่าน้อยที่สุดโปรดให้คำแนะนำ,สวัสดีขอบคุณสำหรับการเขียนถึงแพทย์แชทเกี่ยวกับคำถามของคุณคำตอบสั้น ๆ -การรักษาสำหรับอาการปวดหลังส่วนล่างขึ้นอยู่กับประวัติผู้ป่วยและประเภทและความรุนแรงของความเจ็บปวดตามที่คุณอธิบายฉันอธิบายการทำสมาธิด้านล่างคำตอบที่อธิบาย -กรณีอาการปวดหลังส่วนล่างส่วนใหญ่จะดีขึ้นภายในหกสัปดาห์โดยไม่ต้องผ่าตัดและการออกกำลังกายอาการปวดหลังส่วนล่างมักจะเป็นส่วนหนึ่งของแผนการรักษาหากความเจ็บปวดยังคงอยู่หรือแย่ลงอาจแนะนำให้ใช้ขั้นตอนการวินิจฉัยและการผ่าตัดที่เกี่ยวข้องมากขึ้นยา
"If you are a doctor, please answer the medical questions based on the patient's description.","yes pleaseiv had broken / abcess teeth since fourteen early fifteen now im twenty three and tooth decay has spread progressively facial swelling and jaw pains have have also been an issue  and I always dealt with it my self impoverished family nother story nother time as I say but all ways self medicated scalpels or suringes grew up on farm animal supplies and had a small knowledge of veterinarian procedures dealing with abcess and lesions and felt I could deal with it but in the last few years most molars or wisdom teeth have gone aswell even with more than average brushing the entire time have about three exposed pulp cores and the lumps below ear have always rehealed once opened and or squeezed out by hand some times with great strain on my hands \\""poped like pimple\\"" but scar tissue gets ever harder and larger about the size of half dollar easily noticed just below ear right next to upper jaw bone could these things berelatedif so should an er dr be able to see this?","Hi, After going through the entire description, I am of the opinion that the cause for your pain is infection. A tooth abscess won't resolve without treatment. Even if the abscess disperses, bursts or Chat Doctor.  Antibiotics kill the germs responsible for tooth abscesses, helping the body to repair the tooth and bone. If an abscess erupts by itself, warm salt-water rinses will soothe, help clean the mouth and encourage",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ใช่ Plessiv มีฟันแตก / abcess ตั้งแต่สิบสี่ต้นสิบห้าตอนนี้ตอนนี้ฉันอายุยี่สิบสามและฟันผุได้แพร่กระจายอย่างต่อเนื่องบวมใบหน้าและความเจ็บปวดของขากรรไกรก็มีปัญหาและฉันมักจะจัดการกับมันครอบครัวที่ยากจนของตัวเองในช่วงไม่กี่ปีที่ผ่านมาฟันกรามหรือฟันภูมิปัญญาส่วนใหญ่ได้หายไปเช่นเดียวกับการแปรงมากกว่าค่าเฉลี่ยตลอดเวลามีประมาณสามแกนเยื่อกระดาษที่เปิดออกและก้อนที่อยู่ด้านล่างหูได้รับการรักษาเสมอเมื่อเปิดออกและบีบด้วยมือบางครั้งBerelatedif ดังนั้น Er Dr ควรจะเห็นสิ่งนี้ได้หรือไม่?,สวัสดีหลังจากผ่านคำอธิบายทั้งหมดฉันมีความเห็นว่าสาเหตุของความเจ็บปวดของคุณคือการติดเชื้อฝีฟันจะไม่สามารถแก้ไขได้หากไม่มีการรักษาแม้ว่าฝีแตกต่างระเบิดหรือแพทย์แชทยาปฏิชีวนะฆ่าเชื้อโรคที่รับผิดชอบฝีฟันช่วยร่างกายในการซ่อมแซมฟันและกระดูกหากฝีดังขึ้นด้วยตัวเองการล้างด้วยน้ำเค็มที่อบอุ่นจะช่วยบรรเทาช่วยทำความสะอาดปากและให้กำลังใจ
"If you are a doctor, please answer the medical questions based on the patient's description.","im sick. ive been sick for weeks. two weeks ago, i went to the doctor and they said i had a sinus infection. they perscribed amoxcillin and i took it until my perscription was done. but now, ive been continually sick... right now, my left side of my neck hurts bad and my hearing is funny in my left ear. plus, ill get occassionall really bad pains in my head, like a severe headache",Hi welcome to Chat Doctor. Here you might have persistent sinus infection.... First para nasal sinus x-ray done for rule out sinusitis..... Nasal examination by rhinos copy done for rule out nasal polyp.... Here for congestive symptom antihistamines Chat Doctor. ... Steam inhalation taken with eucalyptus added in water... If cause not clear MRI or CT scan of sinus need for detail investigation... If you are immunocompromised then aspergilli or mucormycosis might rule out ....this investigation helpful for it... If needed endoscopic,หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ฉันป่วยฉันป่วยมาหลายสัปดาห์แล้วสองสัปดาห์ที่ผ่านมาฉันไปหาหมอและพวกเขาบอกว่าฉันติดเชื้อไซนัสพวกเขาระบุ amoxcillin และฉันเอามันไปจนกว่าการพูดของฉันจะเสร็จสิ้นแต่ตอนนี้ฉันป่วยอย่างต่อเนื่อง ... ตอนนี้ด้านซ้ายของคอของฉันเจ็บไม่ดีและการได้ยินของฉันก็ตลกในหูซ้ายของฉันนอกจากนี้ไม่ดีได้รับความเจ็บปวดที่ไม่ดีในหัวของฉันเหมือนปวดหัวอย่างรุนแรง,สวัสดียินดีต้อนรับสู่ Chat Doctorที่นี่คุณอาจมีการติดเชื้อไซนัสอย่างต่อเนื่อง .... เอ็กซัสจมูกจมูกครั้งแรกทำเพื่อออกกฎไซนัสอักเสบ ..... การตรวจจมูกโดยสำเนา rhinos ที่ทำเพื่อกฎติ่งจมูก .... ที่นี่สำหรับอาการแออัด antihistamines แพทย์แชท... การสูดดมไอน้ำที่นำไปด้วยยูคาลิปตัสที่เติมลงในน้ำ ... หากสาเหตุไม่ชัดเจน MRI หรือการสแกน CT ของไซนัสที่จำเป็นสำหรับการตรวจสอบรายละเอียด ... หากคุณมีภูมิคุ้มกัน
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, may I answer your health queries right now ?  Please type your query here I am 65 years old and for the past 12 months I have had a persistant cough that is quite forceful. It makes my ees water and I am quite short of breathe for a period of time after.  The secretions I clear and thick with bubbles in it.  I am also very tired.  Please can you give me some insight?","Thanks for your question on Chat Doctor. I can understand your concern. You are having chronic cough, expectoration which are difficult to cough out and breathlessness. All these symptoms are characteristic of bronchitis. So get done chest x-ray and PFT (Pulmonary Function Test). Chest x-ray is needed to rule out other lung diseases. PFT is must for the diagnosis of bronchitis. You will mostly improve with inhaled bronchodilators (formoterol or albuterol), N acetyl cysteine (NAC) and bucolic with expectorant syrup. Hope I have solved your query. I will be happy to help you further. Wish you good health. Thanks.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดีฉันขอตอบคำถามด้านสุขภาพของคุณได้ไหมโปรดพิมพ์คำถามของคุณที่นี่ฉันอายุ 65 ปีและในช่วง 12 เดือนที่ผ่านมาฉันมีอาการไอถาวรที่ค่อนข้างมีพลังมันทำให้น้ำ EES ของฉันและฉันหายใจไม่ออกเป็นระยะเวลาหนึ่งหลังจากนั้นสารคัดหลั่งที่ฉันชัดเจนและหนาด้วยฟองอากาศในนั้นฉันก็เหนื่อยมากช่วยให้ฉันเข้าใจได้ไหม,"ขอบคุณสำหรับคำถามของคุณเกี่ยวกับแพทย์แชทฉันเข้าใจความกังวลของคุณได้คุณกำลังมีอาการไอเรื้อรังความคาดหวังซึ่งยากที่จะไอและหายใจไม่ออกอาการทั้งหมดเหล่านี้เป็นลักษณะของหลอดลมอักเสบดังนั้นให้ทำเอ็กซ์เรย์ทรวงอกและ PFT (การทดสอบฟังก์ชั่นปอด)จำเป็นต้องใช้เอ็กซ์เรย์ทรวงอกเพื่อแยกแยะโรคปอดอื่น ๆต้องใช้ PFT สำหรับการวินิจฉัยโรคหลอดลมอักเสบคุณส่วนใหญ่จะดีขึ้นด้วยยาหลอดลมที่สูดดม (formoterol หรือ albuterol), n acetyl cysteine ​​(NAC) และ bucolic ด้วยน้ำเชื่อมเสมหะหวังว่าฉันจะแก้ไขคำถามของคุณแล้วฉันยินดีที่จะช่วยเหลือคุณต่อไปขอให้คุณมีสุขภาพที่ดีขอบคุณ."
"If you are a doctor, please answer the medical questions based on the patient's description.",My grandmother who is 87 had an injury to her nose as result of falling out of her wheelchair.  She did lose alot of blood due to blood thinner.  This accident ocurred 2 weeks ago.  She is doing better but her H&H levels are low 8.2 was 8.7 2 days ago and 25.2%   They want to send her for blood transfusions but I have read risks and not confident this is the way to go.  They are taking her blood daily and they took it this morning hence the lower levels and they started her back on coumedin therapy too.  Can her H&H levels be lower in the am?,"Hi, Thanks for asking. Based on your query, my opinion is as follows.1. Both reduced hemoglobin and reduced hematocrit indicates anemia.2. However, 8.2g% is not significant, unless she has associated co-morbidities like cardiac failure.3. If she has cardiac problems or any breathing difficulty, she will require packed red cell transfusion to avoid further complications. Daily blood Chat Doctor.  Continue all medications. She needs to be on blood thinner to avoid heart attack or stroke. Hope it helps. Any further queries, happy to help again.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ยายของฉันที่อายุ 87 ปีได้รับบาดเจ็บที่จมูกของเธออันเป็นผลมาจากการตกลงมาจากรถเข็นของเธอเธอสูญเสียเลือดมากเนื่องจากเลือดทินเนอร์อุบัติเหตุนี้เกิดขึ้นเมื่อ 2 สัปดาห์ก่อนเธอทำได้ดีขึ้น แต่ระดับ H&H ของเธอต่ำ 8.2 คือ 8.7 2 วันที่ผ่านมาและ 25.2% พวกเขาต้องการส่งเธอไปถ่ายเลือด แต่ฉันได้อ่านความเสี่ยงและไม่มั่นใจว่านี่เป็นวิธีที่จะไปพวกเขากำลังรับเลือดของเธอทุกวันและพวกเขาก็เอามันไปเมื่อเช้านี้ดังนั้นระดับที่ต่ำกว่าและพวกเขาก็เริ่มต้นการบำบัดด้วย Coumedin ด้วยระดับ H&H ของเธอสามารถลดลงใน AM ได้หรือไม่?,สวัสดีขอบคุณที่ถามขึ้นอยู่กับการสืบค้นของคุณความคิดเห็นของฉันมีดังต่อไปนี้ 1ทั้งฮีโมโกลบินที่ลดลงและฮีมาโตคริตที่ลดลงบ่งบอกถึงโรคโลหิตจาง 2อย่างไรก็ตาม 8.2G% ไม่มีนัยสำคัญเว้นแต่ว่าเธอมีความสัมพันธ์ร่วมกันเช่นความล้มเหลวของหัวใจ 3หากเธอมีปัญหาเกี่ยวกับการเต้นของหัวใจหรือหายใจลำบากเธอจะต้องมีการถ่ายเซลล์เม็ดเลือดแดงที่บรรจุเพื่อหลีกเลี่ยงภาวะแทรกซ้อนเพิ่มเติมแพทย์แชทเลือดทุกวันใช้ยาทั้งหมดต่อไปเธอต้องทินเนอร์เลือดเพื่อหลีกเลี่ยงอาการหัวใจวายหรือโรคหลอดเลือดสมองหวังว่ามันจะช่วยได้การสอบถามเพิ่มเติมใด ๆ ยินดีที่จะช่วยเหลืออีกครั้ง
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi ! Am 29 had endo yrs Severe period pain every month I never much of a life whilest on my period cant work eat or do anything to help myself ,nothing worked , found out I had pulmonary Endometriosis had surgery on my lungs few months ago then 2 weeks ago I had a laparscopy treatment for my end and Fibroid cyst , been married for 5 yrs we really want to start a family now can I get pregnant?","HelloThanks for posting your query. When the doctor performed the laparoscopy, I would think that they would have done a test at the same time to see if the fallopian tubes were all right or not. If the doctor said that the tubes were patent(that is, not blocked), there is good chance of your getting pregnant. If your periods are regular, and you have monthly cycles, it would mean that you are ovulating, and that would mean a good chance of pregnancy as well. However, if you don't get pregnant in the next one year, do go back and see a gynecologist with interest in fertility. The doctor would order a few other tests and advice you if you would need help in getting pregnant like IVF. Best wishes.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดี !ฉัน 29 ปีมีอาการปวดอย่างรุนแรงทุกเดือนฉันไม่เคยมีชีวิตมากนักในช่วงเวลาของฉันไม่สามารถทำงานได้หรือทำอะไรเพื่อช่วยตัวเองไม่มีอะไรทำงานพบว่าฉันมี endometriosis ปอดมีการผ่าตัดปอดเมื่อไม่กี่เดือนที่ผ่านมา,Hellothanks สำหรับโพสต์คำถามของคุณเมื่อแพทย์ทำการส่องกล้องฉันคิดว่าพวกเขาจะทำการทดสอบในเวลาเดียวกันเพื่อดูว่าท่อนำไข่ถูกต้องหรือไม่หากแพทย์บอกว่าหลอดเป็นสิทธิบัตร (นั่นคือไม่ถูกบล็อก) มีโอกาสที่ดีที่คุณจะตั้งครรภ์หากช่วงเวลาของคุณเป็นปกติและคุณมีรอบรายเดือนมันก็หมายความว่าคุณกำลังตกไข่และนั่นก็หมายถึงโอกาสที่ดีในการตั้งครรภ์เช่นกันอย่างไรก็ตามหากคุณไม่ได้ตั้งครรภ์ในอีกหนึ่งปีให้ย้อนกลับไปดูนรีแพทย์ที่มีความสนใจในภาวะเจริญพันธุ์แพทย์จะสั่งการทดสอบอื่น ๆ อีกสองสามครั้งและให้คำแนะนำคุณหากคุณต้องการความช่วยเหลือในการตั้งครรภ์เช่น IVFด้วยความปรารถนาดี
"If you are a doctor, please answer the medical questions based on the patient's description.","Hi, I am going through a severe back pain. Actually really dont know where is the pain ? about 3 years back I was performing n i fell from d back stage from that day onwards I have this pain.i have consulted few doctors but no one could find what was the problem,all they gave was a vaccination for pain relief.some times the pain increases few days before i get my periods.the pain is so severe that I cant stand, walk or sit.",Welcome to Chat Doctor as you have mentioned that the pie started after a fall may be it is due to some injury sustained that time leading to some problem in lumbosacral and dorsolumbar joints please consult orthopedic surgery and get a check-up pain increasing few days before periods may due to problems related to pelvic organs' uterus/ovaries.gynecological check up will be helpful pain during periods may be relieved by colonel tablet 1 tab 3 times after meals.severe backache not related to periods may be helped by powerless tab hope you be all right soon,หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดีฉันกำลังปวดหลังอย่างรุนแรงจริงๆแล้วไม่รู้ว่าเจ็บปวดอยู่ที่ไหน?ประมาณ 3 ปีก่อนที่ฉันจะแสดงและฉันล้มลงจากเวทีย้อนหลังตั้งแต่วันนั้นเป็นต้นไปฉันมีความเจ็บปวดนี้ฉันได้ปรึกษาแพทย์ไม่กี่คน แต่ไม่มีใครพบปัญหาได้ว่าอะไรคือสิ่งที่พวกเขาให้คือการฉีดวัคซีนเพื่อบรรเทาอาการปวดบางครั้งความเจ็บปวดเพิ่มขึ้นสองสามวันก่อนที่ฉันจะได้รับช่วงเวลา,ยินดีต้อนรับสู่การแชทแพทย์ตามที่คุณได้กล่าวไปแล้วว่าพายเริ่มต้นหลังจากการล่มอาจเป็นเพราะการบาดเจ็บบางอย่างที่เกิดขึ้นในช่วงเวลาที่นำไปสู่ปัญหาบางอย่างใน lumbosacral และ dorsolumbar ข้อต่อโปรดปรึกษาการผ่าตัดกระดูกและข้อและการตรวจร่างกายของการตรวจสอบมื้ออาหารอย่างรุนแรงไม่เกี่ยวข้องกับช่วงเวลา
"If you are a doctor, please answer the medical questions based on the patient's description.",my son who is 4 and about 38lbs. has been complaining of a stomach ache right around his navel and has thrown up several times( all liquid looking vomit). He has complained some about a headache and at one point it felt as though he had a slight fever though has been hard to tell his whole body has felt hot most of the day. When I gave him a bath to try and help him feel better he got out of the tub with teeth chattering and his whole body shaking like he was freezing but he felt warm to the touch! What is wrong with him. I have given him fever reducer.,"Hi... Thank you for consulting in Chat Doctor. Fever of few days without any localizing signs could as well a viral illness. Usually rather than fever, what is more important is the activity of the child, in between 2 fever episodes on the same day. If the kid is active and playing around when there is no fever, it is probably viral illness and it doesn't require antibiotics at all. Once viral fever comes it will there for 4-7 days. So do not worry about duration if the kid is active. Regards -",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,ลูกชายของฉันที่อายุ 4 ขวบและประมาณ 38 ปอนด์ได้รับการบ่นว่าปวดท้องไปรอบ ๆ สะดือของเขาและโยนขึ้นหลายครั้งเขาบ่นเกี่ยวกับอาการปวดหัวและเมื่อถึงจุดหนึ่งก็รู้สึกราวกับว่าเขามีไข้เล็กน้อย แต่ก็ยากที่จะบอกว่าร่างกายของเขารู้สึกร้อนแรงที่สุดตลอดทั้งวันเมื่อฉันให้เขาอาบน้ำและช่วยให้เขารู้สึกดีขึ้นเขาก็ออกจากอ่างด้วยการพูดพล่อยและร่างกายของเขาสั่นเหมือนเขาแช่แข็ง แต่เขารู้สึกอบอุ่นเมื่อสัมผัส!เกิดอะไรขึ้นกับเขาฉันให้ยาลดไข้แก่เขา,สวัสดี ... ขอบคุณสำหรับการให้คำปรึกษาใน Chat Doctorไข้ไม่กี่วันโดยไม่มีสัญญาณแปลว่าอาจเป็นโรคไวรัสได้เช่นกันโดยปกติมากกว่าไข้สิ่งที่สำคัญกว่าคือกิจกรรมของเด็กในระหว่าง 2 ตอนไข้ในวันเดียวกันหากเด็กทำงานและเล่นรอบ ๆ เมื่อไม่มีไข้อาจเป็นโรคไวรัสและไม่จำเป็นต้องใช้ยาปฏิชีวนะเลยเมื่อมีไข้ไวรัสมาถึงที่นั่น 4-7 วันดังนั้นไม่ต้องกังวลเกี่ยวกับระยะเวลาหากเด็กทำงานอยู่ขอแสดงความนับถือ -
"If you are a doctor, please answer the medical questions based on the patient's description.","My brother-in-law aged 61 years old diagnosed with 2 blocks in the heart and also a block in right way of passage to kidney and advised for bypass surgery. He has the history of Hypertention, Diabetics for a decade also suffers from gastric ulcers. Some of our well wishers contemplating on going for KEELEYs method of treatment to avoid surgery. Can you please give details about this method and how far it is successful as an alternative to bypass surgery. Thank you very much. P. Srinivasulu / INDIA.","Hello thank you for posting here. I have gone through your description. Since he has two blocks in the heart arteries, and he is advice bypass, the right choice is to go ahead with bypass surgery. I don't know any therapy named KELLEY, but I suppose you are talking about ch elation therapy. This therapy is of no benefit for the patient. The blocks in the heart artery are embedded inside the heart vessel and any amount of medication or therapy cannot decrease it to make it vanish. Medications can only help to stop progression of the block. Definitive way to treat critical heart blockages is an angioplasty or bypass surgery. Had you been my patient my advice would be to go ahead with bypass? Bypass surgery requires a stay of 7- 10 days approx in the hospital. Patient can start walking usually by day 5 after surgery. It requires a recovery period of 20 -25 days, but the long term results of bypass are very good with patients having a good quality of life. Gastric ulcers can be treated with long term antacids. Gastric ulcers are not a contraindication for surgery. Wishing you good health thank you",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,พี่สะใภ้ของฉันอายุ 61 ปีได้รับการวินิจฉัยว่ามี 2 ช่วงตึกในหัวใจและยังเป็นบล็อกที่ถูกต้องในการเดินทางไปยังไตและแนะนำให้ผ่าตัดบายพาสเขามีประวัติความเป็นไปได้ของผู้ป่วยโรคเบาหวานเป็นเวลาหนึ่งทศวรรษแล้วก็ทนทุกข์ทรมานจากแผลในกระเพาะอาหารผู้ปรารถนาดีของเราบางคนคิดว่าจะใช้วิธีการรักษา Keeleys เพื่อหลีกเลี่ยงการผ่าตัดคุณช่วยให้รายละเอียดเกี่ยวกับวิธีนี้ได้ไหมและประสบความสำเร็จในการผ่าตัดผ่านการผ่าตัดขอบคุณมาก.P. Srinivasulu / อินเดีย,สวัสดีขอบคุณสำหรับการโพสต์ที่นี่ฉันผ่านคำอธิบายของคุณแล้วเนื่องจากเขามีสองช่วงตึกในหลอดเลือดแดงหัวใจและเขาเป็นคำแนะนำบายพาสตัวเลือกที่เหมาะสมคือไปข้างหน้าด้วยการผ่าตัดบายพาสฉันไม่รู้การบำบัดใด ๆ ที่ชื่อว่า Kelley แต่ฉันคิดว่าคุณกำลังพูดถึงการบำบัดด้วยความยินดีการบำบัดนี้ไม่เป็นประโยชน์สำหรับผู้ป่วยบล็อกในหลอดเลือดหัวใจจะถูกฝังอยู่ในภาชนะหัวใจและยาหรือการบำบัดในปริมาณใด ๆ ไม่สามารถลดลงได้เพื่อให้หายไปยาสามารถช่วยหยุดความก้าวหน้าของบล็อกเท่านั้นวิธีการที่ชัดเจนในการรักษาภาวะหัวใจที่สำคัญคือการผ่าตัดหลอดเลือดหรือบายพาสคุณเคยเป็นคนไข้ของฉันคำแนะนำของฉันจะต้องไปข้างหน้าด้วยบายพาสหรือไม่?การผ่าตัดบายพาสต้องมีการเข้าพัก 7-10 วันในโรงพยาบาลผู้ป่วยสามารถเริ่มเดินได้ตามปกติในวันที่ 5 หลังการผ่าตัดต้องใช้ระยะเวลาการกู้คืน 20 -25 วัน แต่ผลลัพธ์ระยะยาวของบายพาสนั้นดีมากกับผู้ป่วยที่มีคุณภาพชีวิตที่ดีแผลในกระเพาะอาหารสามารถรักษาด้วยยาลดกรดในระยะยาวแผลในกระเพาะอาหารไม่ใช่ข้อห้ามในการผ่าตัดขออวยพรให้คุณมีสุขภาพที่ดีขอบคุณ
"If you are a doctor, please answer the medical questions based on the patient's description.","hi i m 18 and female and i had sex the 25th and 26th of December..i got kind of scared at first thinking i could have gotten pregnant but once my period came on the 3rd of January my worries disappeared. I thought it was a little strange that it was only about 3-4 days long..normally mine are around 5-6 with spotting afterwards and leakage with tampons no matter the strength..this time however there was no spotting or leaking whatsoever..but i didn t think much of it now about the 17th i noticed a dull cramp in my lower stomach that would come and go and it did this til the 20th, on the 20th the cramp has stayed and increased, i did noticed that i ve been eating alot even when i m not hungry for the past week and my stomach looks bloated and my breasts are tender and i ve been urinating ALOT and usually i only go about 2-3 a day now i don t even have to drink anything and ill go 7 times a day easily if not more..pregnant? or not? PLEASE HELP IMMEDIATELY.....","Hello, If you were due on the 3rd of Jan, and you got your period then you are not pregnant. If your got your period before you date then there is a possibility of implantation bleeding. The rest of your symptoms sound like you have a UTI. First take e test to rule out pregnancy. Then you will need antibiotics for a few days to clear up the infection. Chat Doctor. Avoid sex till you are clean. Hygiene is very important.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดีฉัน M 18 และผู้หญิงและฉันมีเพศสัมพันธ์ที่ 25 และ 26 ธันวาคม .. ฉันกลัวในตอนแรกคิดว่าฉันจะตั้งครรภ์ได้ แต่เมื่อช่วงเวลาของฉันมาถึงวันที่ 3 มกราคมความกังวลของฉันก็หายไปฉันคิดว่ามันแปลกนิดหน่อยที่มันมีความยาวเพียงประมาณ 3-4 วัน .. ของฉันอยู่ที่ประมาณ 5-6 โดยมีการพบกันหลังจากนั้นและรั่วไหลด้วยผ้าอนามัยไม่ว่าจะเป็นความแข็งแกร่ง .. คราวนี้ แต่ตอนนี้ฉันไม่ได้คิดอะไรอยู่ที่ฉันกินมากแม้ว่าฉันจะไม่หิวในสัปดาห์ที่ผ่านมาและท้องของฉันดูป่องและหน้าอกของฉันนุ่มและฉันก็ปัสสาวะมากและโดยปกติฉันจะไปประมาณ 2-3 ต่อวันตอนนี้ฉันไม่ต้องดื่มอะไรเลยหรือไม่?กรุณาช่วยทันที .....,สวัสดีถ้าคุณครบกำหนดในวันที่ 3 มกราคมและคุณได้รับช่วงเวลาของคุณคุณจะไม่ได้ตั้งครรภ์หากคุณมีระยะเวลาก่อนวันที่คุณมีความเป็นไปได้ที่จะมีเลือดออกการปลูกถ่ายส่วนที่เหลือของอาการของคุณฟังดูเหมือนคุณมี UTIก่อนอื่นทำการทดสอบ E เพื่อแยกแยะการตั้งครรภ์จากนั้นคุณจะต้องใช้ยาปฏิชีวนะสักสองสามวันเพื่อล้างการติดเชื้อแชทแพทย์.หลีกเลี่ยงการมีเพศสัมพันธ์จนกว่าคุณจะสะอาดสุขอนามัยเป็นสิ่งสำคัญมาก
"If you are a doctor, please answer the medical questions based on the patient's description.","hi, i have just got bitten to my year old dog 10 min ago. this morning he was seeming like he was panting and panting and breathing very heavily. We gave him water but he still did it. Now the bite feels tingily and its like its beating.I already put poroxide on. Do you know if this is normal or what to do?","Hello, Welcome to Chat Doctor, Rabies is a disease which is transmitted by dog bite which is 100% fatal, but it is 100% preventable by proper and adequate treatment. As you were bitten by a dog which has led to bleeding from the site according to WHO categories it is categorized into Cat III, which requires following treatment1. Wash the wound thoroughly with soap and water.2. Active immunization with anti rabies vaccine on days 0,3,7,14 and 28.3. Passive immunization with rabies immunoglobulin around the wound.4. In TT, 0.5 ml, I'm. Thank you.",หากคุณเป็นแพทย์โปรดตอบคำถามทางการแพทย์ตามคำอธิบายของผู้ป่วย,สวัสดีฉันเพิ่งถูกกัดให้กับสุนัขอายุปีของฉันเมื่อ 10 นาทีที่แล้วเช้านี้เขาดูเหมือนว่าเขากำลังหอบและหอบและหายใจหนักมากเราให้น้ำแก่เขา แต่เขาก็ยังทำอยู่ตอนนี้การกัดให้ความรู้สึกที่น่าเบื่อและมันก็เหมือนกับการเต้นของมันฉันใส่ Poroxide ไปแล้วคุณรู้หรือไม่ว่านี่เป็นเรื่องปกติหรือจะทำอย่างไร?,"สวัสดียินดีต้อนรับสู่การแชทแพทย์โรคพิษสุนัขบ้าเป็นโรคที่ส่งโดยสุนัขกัดซึ่งเป็นอันตรายถึงชีวิต 100% แต่สามารถป้องกันได้ 100% โดยการรักษาที่เหมาะสมและเพียงพอในขณะที่คุณถูกสุนัขกัดซึ่งนำไปสู่การมีเลือดออกจากเว็บไซต์ตามหมวดหมู่ของ WHO มันถูกจัดหมวดหมู่เป็น Cat III ซึ่งต้องมีการรักษาต่อไปนี้ 1ล้างแผลให้สะอาดด้วยสบู่และน้ำ 2.การฉีดวัคซีนป้องกันโรคพิษสุนัขบ้าในวันที่ 0,3,7,14 และ 28.3การฉีดวัคซีนแบบพาสซีฟกับอิมมูโนโกลบูลินรอบ ๆ แผล 4.ใน TT, 0.5 มล. ฉันขอบคุณ"
